configuration,horizon,completed_laps,progress_m,simulated_time_s,compute_time_s,mean_ess,fell,off_track,lap_time_s
matched_model,24,1,39.78995195842231,11.8,6.431355566994171,13.137689579747454,False,False,11.8
rk4_plant_implicitfast_planner,24,0,32.123099534758325,12.34,2.772379707006621,9.370133203986466,False,True,nan
matched_implicitfast,24,1,39.784831032099206,12.280000000000001,2.29691382299643,12.825237729840236,False,False,12.280000000000001
rk4_plant_implicitfast_calibrated,24,0,9.978204394400475,3.98,0.8550550469954032,10.951202118899271,False,True,nan
matched_model,32,1,39.737391017020876,11.74,6.942671526994673,11.62912563553384,False,False,11.74
rk4_plant_implicitfast_planner,32,0,35.75315183663348,11.16,2.5340210499998648,9.19610494909925,False,True,nan
matched_implicitfast,32,1,39.75098061118184,13.0,2.9167490749969147,10.309970530103984,False,False,13.0
rk4_plant_implicitfast_calibrated,32,1,39.75048671679412,12.42,2.9319876989902696,9.468553756090923,False,False,12.42
matched_model,50,1,39.73569850348784,11.34,9.633099782004138,9.101259687795382,False,False,11.34
rk4_plant_implicitfast_planner,50,1,39.77608981231347,11.8,3.695037613011664,7.415074530062727,False,False,11.8
matched_implicitfast,50,1,39.811979776604886,11.3,3.4980234440008644,8.972790638734867,False,False,11.3
rk4_plant_implicitfast_calibrated,50,1,39.713028568692394,13.3,4.054594332992565,7.898956650604518,False,False,13.3
